Thread   Start(us)  B/E     Dur(us)  Name/Detail
 40346  1647513042  END          32  (A) SymbolTableAnalysis
 40346  1647718846  END      212293  CheckLifetimes
 40346  1650426500  BEG        8049  AnnotateKernels
 40346  1650434549  END        8049  AnnotateKernels
 40346  1650434555  BEG        1854  VerifyKernels
 40346  1650436410  END        1854  VerifyKernels
 40346  1650436416  BEG       28204  LowerSemanticCF
 40346  1650464620  END       28204  LowerSemanticCF
 40346  1650464626  BEG      272966  CheckLifetimes
 40346  1650471310  BEG          47  (A) SymbolTableAnalysis
 40346  1650471358  END          47  (A) SymbolTableAnalysis
 40346  1650737593  END      272966  CheckLifetimes
 40346  1653276112  BEG        5527  AnnotateKernels
 40346  1653281640  END        5527  AnnotateKernels
 40346  1653281645  BEG        1405  VerifyKernels
 40346  1653283050  END        1405  VerifyKernels
 40346  1653283054  BEG       12036  LowerSemanticCF
 40346  1653295091  END       12036  LowerSemanticCF
 40346  1653295096  BEG      155645  CheckLifetimes
 40346  1653300270  BEG          23  (A) SymbolTableAnalysis
 40346  1653300293  END          23  (A) SymbolTableAnalysis
 40346  1653450742  END      155645  CheckLifetimes
 40346  1688459013  BEG        8038  AnnotateKernels
 40346  1688467051  END        8038  AnnotateKernels
 40346  1688467055  BEG        1474  VerifyKernels
 40346  1688468529  END        1474  VerifyKernels
 40346  1688468532  BEG       10770  LowerSemanticCF
 40346  1688479303  END       10770  LowerSemanticCF
 40346  1688479307  BEG      220814  CheckLifetimes
 40346  1688485372  BEG          34  (A) SymbolTableAnalysis
 40346  1688485406  END          34  (A) SymbolTableAnalysis
 40346  1688700122  END      220814  CheckLifetimes
 40346  1698162394  BEG        6343  AnnotateKernels
 40346  1698168738  END        6343  AnnotateKernels
 40346  1698168744  BEG        1503  VerifyKernels
 40346  1698170248  END        1503  VerifyKernels
 40346  1698170251  BEG       12253  LowerSemanticCF
 40346  1698182504  END       12253  LowerSemanticCF
 40346  1698182509  BEG      229861  CheckLifetimes
 40346  1698188076  BEG          41  (A) SymbolTableAnalysis
 40346  1698188118  END          41  (A) SymbolTableAnalysis
 40346  1698412371  END      229861  CheckLifetimes
 40346  1711576007  BEG        5588  AnnotateKernels
 40346  1711581596  END        5588  AnnotateKernels
 40346  1711581601  BEG        1517  VerifyKernels
 40346  1711583118  END        1517  VerifyKernels
 40346  1711583121  BEG        8877  LowerSemanticCF
 40346  1711591999  END        8877  LowerSemanticCF
 40346  1711592004  BEG      179943  CheckLifetimes
 40346  1711596319  BEG          21  (A) SymbolTableAnalysis
 40346  1711596340  END          21  (A) SymbolTableAnalysis
 40346  1711771948  END      179943  CheckLifetimes
 40346  1714179974  BEG        7049  AnnotateKernels
 40346  1714187024  END        7049  AnnotateKernels
 40346  1714187029  BEG        1488  VerifyKernels
 40346  1714188518  END        1488  VerifyKernels
 40346  1714188522  BEG       10194  LowerSemanticCF
 40346  1714198717  END       10194  LowerSemanticCF
 40346  1714198722  BEG      237475  CheckLifetimes
 40346  1714203433  BEG          25  (A) SymbolTableAnalysis
 40346  1714203459  END          25  (A) SymbolTableAnalysis
 40346  1714436198  END      237475  CheckLifetimes
 40346  1717423467  BEG        6376  AnnotateKernels
 40346  1717429843  END        6376  AnnotateKernels
 40346  1717429849  BEG        1600  VerifyKernels
 40346  1717431449  END        1600  VerifyKernels
 40346  1717431454  BEG       12373  LowerSemanticCF
 40346  1717443828  END       12373  LowerSemanticCF
 40346  1717443833  BEG      152147  CheckLifetimes
 40346  1717447747  BEG          18  (A) SymbolTableAnalysis
 40346  1717447766  END          18  (A) SymbolTableAnalysis
 40346  1717595980  END      152147  CheckLifetimes
 40346  1722590311  BEG        7869  AnnotateKernels
 40346  1722598180  END        7869  AnnotateKernels
 40346  1722598186  BEG        1666  VerifyKernels
 40346  1722599853  END        1666  VerifyKernels
 40346  1722599857  BEG       13233  LowerSemanticCF
 40346  1722613091  END       13233  LowerSemanticCF
 40346  1722613096  BEG      150188  CheckLifetimes
 40346  1722619772  BEG          30  (A) SymbolTableAnalysis
 40346  1722619803  END          30  (A) SymbolTableAnalysis
 40346  1722763284  END      150188  CheckLifetimes
 40346  1725770363  BEG        8911  AnnotateKernels
 40346  1725779275  END        8911  AnnotateKernels
 40346  1725779281  BEG        1823  VerifyKernels
 40346  1725781104  END        1823  VerifyKernels
 40346  1725781109  BEG       13474  LowerSemanticCF
 40346  1725794584  END       13474  LowerSemanticCF
 40346  1725794588  BEG      163182  CheckLifetimes
 40346  1725800535  BEG          29  (A) SymbolTableAnalysis
 40346  1725800565  END          29  (A) SymbolTableAnalysis
 40346  1725957770  END      163182  CheckLifetimes
 40346  1731956727  BEG        7380  AnnotateKernels
 40346  1731964108  END        7380  AnnotateKernels
 40346  1731964114  BEG        8426  VerifyKernels
 40346  1731972541  END        8426  VerifyKernels
 40346  1731972547  BEG       32752  LowerSemanticCF
 40346  1732005300  END       32752  LowerSemanticCF
 40346  1732005306  BEG      148005  CheckLifetimes
 40346  1732010792  BEG          23  (A) SymbolTableAnalysis
 40346  1732010815  END          23  (A) SymbolTableAnalysis
 40346  1732153311  END      148005  CheckLifetimes
 40346  1734965371  BEG       12916  AnnotateKernels
 40346  1734978288  END       12916  AnnotateKernels
 40346  1734978294  BEG        4711  VerifyKernels
 40346  1734983005  END        4711  VerifyKernels
 40346  1734983011  BEG       25413  LowerSemanticCF
 40346  1735008424  END       25413  LowerSemanticCF
 40346  1735008430  BEG      164648  CheckLifetimes
 40346  1735020029  BEG          33  (A) SymbolTableAnalysis
 40346  1735020063  END          33  (A) SymbolTableAnalysis
 40346  1735173078  END      164648  CheckLifetimes
 40346  1815816213  BEG           4  AnnotateKernels
 40346  1815816218  END           4  AnnotateKernels
 40346  1815816220  BEG           2  VerifyKernels
 40346  1815816223  END           2  VerifyKernels
 40346  1815816225  BEG           1  LowerSemanticCF
 40346  1815816227  END           1  LowerSemanticCF
 40346  1815816229  BEG          12  CheckLifetimes
